Epoch: 1  | Loss training: 0.051 | NSE validation: 0.680 | Epoch time: 544.7s | LR: 0.00050
Epoch: 2  | Loss training: 0.029 | NSE validation: 0.764 | Epoch time: 560.7s | LR: 0.00050
Epoch: 3  | Loss training: 0.023 | NSE validation: 0.766 | Epoch time: 560.2s | LR: 0.00050
Epoch: 4  | Loss training: 0.019 | NSE validation: 0.746 | Epoch time: 559.1s | LR: 0.00050
Epoch: 5  | Loss training: 0.017 | NSE validation: 0.769 | Epoch time: 565.2s | LR: 0.00050
Epoch: 6  | Loss training: 0.016 | NSE validation: 0.758 | Epoch time: 563.9s | LR: 0.00050
Epoch: 7  | Loss training: 0.015 | NSE validation: 0.773 | Epoch time: 560.9s | LR: 0.00050
Epoch: 8  | Loss training: 0.014 | NSE validation: 0.771 | Epoch time: 556.7s | LR: 0.00050
Epoch: 9  | Loss training: 0.013 | NSE validation: 0.769 | Epoch time: 499.5s | LR: 0.00050
